cafeno,name,address,business_hours,tel,thumb
156,카페큐브 로비점,서울 종로구 새문안로 68 1층,,070-4509-9222,/home/data/thumb_img/img156.jpg
158,카페게더 광화문점,서울 종로구 새문안로3길 3 1층,월~금 07:00 ~ 22:00,02-738-4290,/home/data/thumb_img/img158.jpg
165,나무사이로,서울 종로구 사직로8길 21,매일 10:00 ~ 22:00,070-7590-0885,/home/data/thumb_img/img165.jpg
166,투썸플레이스 광화문점,서울 종로구 새문안로 85,매일 07:00 ~ 23:00,02-734-2368,/home/data/thumb_img/img166.jpg
167,스타벅스 경희궁로점,서울 종로구 새문안로3길 15,월~금 07:00 ~ 20:30,1522-3232,/home/data/thumb_img/img167.jpg
171,빌리엔젤 광화문점,서울 종로구 새문안로 92 1층,매일 08:00 ~ 22:00,070-5051-8145,/home/data/thumb_img/img171.jpg
172,카페아이엠티 충정로점,서울 서대문구 경기대로 26-20 명학하우스 101호,,02-393-4862,/home/data/thumb_img/default6.jpg
174,폴바셋 신문로점,서울 종로구 새문안로3길 12 1층,매일 09:00 ~ 22:00,02-723-1991,/home/data/thumb_img/img174.jpg
176,나무야,서울 서대문구 서소문로 43-22,월~금 10:00 ~ 23:00,,/home/data/thumb_img/img176.jpg
179,스태픽스,서울 종로구 사직로9길 22 102호,월요일,010-4274-2055,/home/data/thumb_img/img179.jpg
182,덕수궁 리에제와플,서울 중구 덕수궁길 5,,,/home/data/thumb_img/img182.jpg
184,다이닝카페61,서울 종로구 경희궁길 43,,02-730-8959,/home/data/thumb_img/default9.jpg
190,까페우리,서울 종로구 경희궁1길 27,,,/home/data/thumb_img/default4.jpg
198,스타벅스 새문안로점,"서울 종로구 새문안로 92 광화문 오피시아빌딩 1, 2층",월~금 07:00 ~ 21:00,1522-3232,/home/data/thumb_img/img198.jpg
206,52로스터스랩,서울 중구 서소문로11길 14,월~금 07:00 ~ 21:00,070-7761-5222,/home/data/thumb_img/img206.jpg
210,스타벅스 광화문R점,서울 종로구 세종대로 167 현대해상본사사옥 별관내,월~금 06:30 ~ 22:00,1522-3232,/home/data/thumb_img/default9.jpg
212,이디야커피 중림점,서울 중구 청파로 464,월~금 07:30 ~ 22:30,02-313-5057,/home/data/thumb_img/default9.jpg
214,호두라니,서울 서대문구 성산로 700,,02-358-8488,/home/data/thumb_img/default8.jpg
216,이디야커피 충정로3가점,서울 서대문구 경기대로 26-26,월~금 08:00 ~ 22:00,,/home/data/thumb_img/default3.jpg
218,스타벅스 스페이스본점,"서울 종로구 사직로8길 4 광화문 풍림 스페이스본 201동 109호,110호",월~금 07:00 ~ 21:00,1522-3232,/home/data/thumb_img/default4.jpg
222,할리스커피 세종로점,"서울 종로구 세종대로 161 2,3층",매일 00:00 ~ 24:00,02-720-5582,/home/data/thumb_img/img222.jpg
227,할리스커피 광화문점,서울 중구 세종대로21길 55 1층,매일 07:00 ~ 22:00,02-738-8004,/home/data/thumb_img/img227.jpg
230,커피온더힐,서울 종로구 새문안로3길 11,,02-723-0988,/home/data/thumb_img/default6.jpg
234,마농트로포,서울 종로구 사직로9가길 10 1층,매일 11:00 ~ 21:00,02-794-0011,/home/data/thumb_img/img234.jpg
237,카페말로 순화점,서울 중구 서소문로 89 순화빌딩,월~토 08:00 ~ 21:00,02-318-1135,/home/data/thumb_img/default6.jpg
241,투썸플레이스 광화문역점,서울 중구 세종대로 135-9,월~금 07:00 ~ 22:30,02-720-2102,/home/data/thumb_img/img241.jpg
249,뜨락,서울 중구 덕수궁길 15,,02-2133-1178,/home/data/thumb_img/default8.jpg
253,포시즌스호텔 마루,서울 종로구 새문안로 97 포시즌스호텔 로비층,매일 11:00 ~ 22:00,02-6388-5000,/home/data/thumb_img/img253.jpg
255,쉴만한물가,서울 종로구 경희궁2길 5-6,,070-4174-6439,/home/data/thumb_img/default9.jpg
258,5카페갤러리,서울 종로구 경희궁1길 33-32 5빌딩,,,/home/data/thumb_img/default5.jpg
260,쇼콜라디제이,서울 종로구 사직로8길 20,,02-733-7911,/home/data/thumb_img/img260.jpg
261,이디야커피 광화문점,서울 종로구 세종대로23길 15,,02-738-0303,/home/data/thumb_img/img261.jpg
265,커피집단카페소프트 충정로지점,서울 중구 서소문로 50,,02-336-4921,/home/data/thumb_img/default5.jpg
267,폴키,서울 종로구 사직로9길 6 1층,매일 10:00 ~ 22:00,02-722-0855,/home/data/thumb_img/img267.jpg
271,오디디,서울 종로구 필운대로 25-2 1층,"월,수,목,금,토,일 11:00 ~ 22:00",010-3091-0521,/home/data/thumb_img/img271.jpg
274,카페마마스 시청점,서울 중구 무교로 16 체육회관빌딩 1층,매일 10:30 ~ 20:30,02-318-1230,/home/data/thumb_img/img274.jpg
277,이디야커피 충정로역점,서울 중구 중림로 10,매일 08:00 ~ 22:00,02-312-8142,/home/data/thumb_img/img277.jpg
278,커피원,서울 종로구 새문안로3길 12,,,/home/data/thumb_img/img278.jpg
279,탐앤탐스 대한항공서소문점,서울 중구 서소문로 117 대한항공빌딩 1층,월~금 07:00 ~ 21:00,02-3789-3565,/home/data/thumb_img/default1.jpg
281,컴포즈커피 서소문점,서울 중구 서소문로11길 6,,,/home/data/thumb_img/default10.jpg
283,엔제리너스 세종로점,"서울 종로구 세종대로 169 1,2층",월~금 07:00 ~ 22:00,02-739-6405,/home/data/thumb_img/img283.jpg
284,이디야커피 세종로점,서울 중구 세종대로21길 67,월~금 07:00 ~ 22:00,02-736-8822,/home/data/thumb_img/default4.jpg
286,카페46,서울 종로구 사직로8길 20 파크팰리스116호,월~토 10:00 ~ 23:00,070-4118-5908,/home/data/thumb_img/img286.jpg
287,위트러스트커피 시청점,서울 중구 서소문로 125,,02-754-0303,/home/data/thumb_img/default4.jpg
293,풀오브파운드,서울 종로구 사직로12길 1-2,,02-720-4009,/home/data/thumb_img/default8.jpg
294,투썸플레이스 대한통운사옥점,서울 중구 세종대로9길 53 대한통운빌딩 1층,월~금 07:00 ~ 17:30,02-318-4842,/home/data/thumb_img/img294.jpg
295,투썸플레이스 순화동점,서울 중구 세종대로7길 37 ING센터 1층,월~금 07:00 ~ 23:00,02-757-2388,/home/data/thumb_img/img295.jpg
298,가을,서울 종로구 세종대로23길 21,,02-730-7537,/home/data/thumb_img/default2.jpg
303,카페자스 광화문점,서울 종로구 새문안로5가길 3-1,월~금 07:00 ~ 22:00,02-733-7071,/home/data/thumb_img/img303.jpg
304,그레이커피,서울 종로구 사직로8길 34 경희궁의아침3단지 상가 110호,,,/home/data/thumb_img/default4.jpg
305,카페아이엠티 광화문점,서울 종로구 새문안로 76 콘코디언빌딩 지하1층 106호,월~금 07:00 ~ 19:00,,/home/data/thumb_img/default3.jpg
308,요거프레소 광화문오피시아점,서울 종로구 새문안로 92,월~금 08:00 ~ 18:00,02-3276-3000,/home/data/thumb_img/default5.jpg
309,내자동커피,서울 종로구 사직로8길 17,월~금 08:00 ~ 23:00,02-739-2100,/home/data/thumb_img/img309.jpg
316,커피빈 세종문화회관옆점,서울 종로구 새문안로9길 25 1층,월~금 07:00 ~ 23:00,02-720-5561,/home/data/thumb_img/img316.jpg
322,매머드커피 광화문점,서울 종로구 새문안로5가길 5 1층,월~금 07:00 ~ 20:00,070-4106-0042,/home/data/thumb_img/img322.jpg
325,커피빈 광화문점,서울 종로구 종로 14 센트리얼빌딩 1층,월~금 07:00 ~ 23:30,02-3210-2326,/home/data/thumb_img/img325.jpg
326,커피온리 광화문역점,서울 종로구 새문안로9길 21,,,/home/data/thumb_img/img326.jpg
328,LP소리골,서울 종로구 새문안로9길 29-3 지하1층,,02-3394-5910,/home/data/thumb_img/img328.jpg
329,스타벅스 무교동점,서울 중구 무교로 21 코오롱 빌딩 1층,월~금 06:30 ~ 22:30,1522-3232,/home/data/thumb_img/default10.jpg
340,카페잇,서울 종로구 경희궁2길 14-4,,02-322-7810,/home/data/thumb_img/img340.jpg
344,적당,서울 중구 을지로 29 1층,매일 10:00 ~ 22:00,,/home/data/thumb_img/img344.jpg
347,카페셀란,서울 종로구 세종대로 175 1동 1층,,,/home/data/thumb_img/img347.jpg
348,동아,서울 종로구 당주동 131,,,/home/data/thumb_img/default1.jpg
350,카페EAT,서울 종로구 경희궁2길 14-4,,,/home/data/thumb_img/default9.jpg
351,H라운지,서울 종로구 자하문로4길 21-9,월요일,02-722-0028,/home/data/thumb_img/img351.jpg
353,스타벅스 태평로점,서울 중구 세종대로 72 대영빌딩 1층,월~금 07:00 ~ 23:00,1522-3232,/home/data/thumb_img/img353.jpg
354,여름,서울 종로구 새문안로5길 10 2층,,02-732-9799,/home/data/thumb_img/img354.jpg
361,헤븐온탑,서울 종로구 종로3길 17 광화문D타워 4층,매일 11:00 ~ 22:00,02-2251-8488,/home/data/thumb_img/img361.jpg
363,파스쿠찌 서울시청점,서울 중구 태평로1가 25-3 뉴 국제호텔 1층,월~금 07:30 ~ 23:00,02-730-8497,/home/data/thumb_img/img363.jpg
365,공차 시청점,서울 중구 을지로1길 15,월~금 08:00 ~ 22:00,02-3789-0455,/home/data/thumb_img/img365.jpg
366,매머드커피 퍼시픽타워점,서울 중구 세종대로9길 41 1층,월~금 07:00 ~ 21:00,070-8832-3592,/home/data/thumb_img/default2.jpg
372,다락,서울 종로구 새문안로5길 7-1,,02-733-8529,/home/data/thumb_img/img372.jpg
375,토프레소 태평로점,서울 중구 세종대로21길 49 1층,,02-736-7003,/home/data/thumb_img/default8.jpg
376,기빙트리,서울 중구 서소문로 38,,02-2128-0222,/home/data/thumb_img/default9.jpg
378,마담티라미수 디타워점,서울 종로구 종로3길 17 111호,월~금 08:00 ~ 21:00,02-2252-8030,/home/data/thumb_img/img378.jpg
379,아름다운커피 경복궁점,서울 종로구 사직로 130 현대적선빌딩 1층,월~금 07:30 ~ 21:00,02-722-0050,/home/data/thumb_img/img379.jpg
381,커피티쳐 광화문점,서울 종로구 세종대로23길 3 1층,,,/home/data/thumb_img/img381.jpg
383,투섬플러스,서울 종로구 세종대로21길 77-1,,,/home/data/thumb_img/default10.jpg
386,드롭탑 세종로점,서울 종로구 세종대로 지하 189,,02-733-9531,/home/data/thumb_img/img386.jpg
387,이디야커피 경복궁역점,서울 종로구 자하문로 7,월~금 08:00 ~ 23:00,070-8851-5001,/home/data/thumb_img/img387.jpg
389,스타벅스 시청플러스점,서울 중구 을지로 19 삼성화재삼성빌딩 1층,월~금 07:30 ~ 18:00,1522-3232,/home/data/thumb_img/img389.jpg
391,코피오,서울 종로구 새문안로 92 광화문오피시아빌딩 지하 103호,,02-732-8222,/home/data/thumb_img/img391.jpg
396,카페광화문,서울 종로구 새문안로5가길 9,월~금 07:00 ~ 19:00,02-732-7111,/home/data/thumb_img/default2.jpg
400,포시즌,서울 종로구 새문안로7길 16,,02-722-2017,/home/data/thumb_img/img400.jpg
402,빈트리200 25 광화문점,서울 종로구 새문안로5길 5-27,매일 07:30 ~ 19:00,070-8283-2157,/home/data/thumb_img/img402.jpg
406,수키,서울 종로구 사직로8길 34 경희궁의아침 3단지 오피스텔 지하2층 161호,,010-9541-6490,/home/data/thumb_img/default8.jpg
407,토츠오츠,서울 종로구 새문안로5길 37 도렴빌딩 지하1층 39호,월~금 08:00 ~ 19:00 · 브레이크타임 월~금 15:00 ~ 16:00,070-4191-0100,/home/data/thumb_img/img407.jpg
409,올림커피,서울 종로구 사직로 94,월~금 10:00 ~ 21:00,070-8151-8148,/home/data/thumb_img/img409.jpg
410,고요채,서울 종로구 새문안로5가길 11 2층,월~금 12:00 ~ 24:00,,/home/data/thumb_img/img410.jpg
412,코지25,"서울 종로구 사직로 115 1,2층",,,/home/data/thumb_img/img412.jpg
413,커피빈 무교점,서울 중구 세종대로 136 SFC빌딩 지하 1층,월~금 07:00 ~ 22:00,02-753-2374,/home/data/thumb_img/default6.jpg
415,디초콜릿커피앤드 덕수궁점,"서울 중구 세종대로 91 1, 2층",월~금 07:30 ~ 23:00,02-6365-0143,/home/data/thumb_img/img415.jpg
417,더라임,서울 서대문구 충정로 8,,02-313-5084,/home/data/thumb_img/default9.jpg
427,심플 광화문점,서울 종로구 세종대로21길 71,,,/home/data/thumb_img/default10.jpg
428,새문생과일주스,서울 종로구 세종대로23길 47,,,/home/data/thumb_img/default9.jpg
430,오헤어22,서울 중구 만리재로 201 1층,영업시간 월~토 18:00 ~ 01:00,,/home/data/thumb_img/img430.jpg
431,이지샐러드 시청점,서울 중구 남대문로9길 40 센터플레이스 2층,,02-6031-8927,/home/data/thumb_img/img431.jpg
432,카페다다,서울 종로구 새문안로3길 30,,,/home/data/thumb_img/default8.jpg
438,서촌다방,서울 종로구 자하문로2길 3 1층,월~금 08:30 ~ 20:00,02-733-6245,/home/data/thumb_img/img438.jpg
439,메가커피 경복궁역점,서울 종로구 자하문로 11-1,,,/home/data/thumb_img/img439.jpg
441,시퀀스커피,서울 종로구 새문안로9길 9,,02-735-0921,/home/data/thumb_img/default3.jpg
442,겟아웃,서울 종로구 세종대로23길 54,,,/home/data/thumb_img/default3.jpg
443,커피팩토리,서울 종로구 자하문로 8 1층,,02-737-7848,/home/data/thumb_img/default3.jpg
444,플로리안커피,서울 종로구 새문안로5길 7-1,,070-8813-7273,/home/data/thumb_img/img444.jpg
445,언노운커피,서울 종로구 새문안로5길 11,,,/home/data/thumb_img/default1.jpg
449,빈스빈스 HSBC본점,서울 중구 칠패로 37 HSBC빌딩 1층,,02-318-1982,/home/data/thumb_img/img449.jpg
452,화두,서울 종로구 사직로 127,매일 11:00 ~ 23:00,02-723-0980,/home/data/thumb_img/img452.jpg
455,대오서점,서울 종로구 자하문로7길 55,,02-735-1349,/home/data/thumb_img/img455.jpg
456,청춘 라이브카페,서울 종로구 새문안로5길 11-7,,02-735-9913,/home/data/thumb_img/default2.jpg
457,뜰,서울 종로구 새문안로5길 9,,,/home/data/thumb_img/default4.jpg
461,온더로드,서울 중구 세종대로 80,,070-7543-3454,/home/data/thumb_img/default1.jpg
463,예린,서울 종로구 새문안로5길 11-7 3층,,,/home/data/thumb_img/default8.jpg
465,광화문나무,서울 종로구 새문안로5길 10-1 2층,,02-736-9877,/home/data/thumb_img/img465.jpg
466,호떡당 광화문D타워점,서울 종로구 종로3길 17,매일 10:30 ~ 20:30,,/home/data/thumb_img/img466.jpg
469,섬,서울 종로구 새문안로5길 14,,02-736-3617,/home/data/thumb_img/default5.jpg
470,카페드콘서트 남대문점,서울 중구 세종대로 17 와이즈타워 1층,,,/home/data/thumb_img/img470.jpg
473,필운동주,서울 종로구 필운대로 15 1층,월요일,010-4316-9333,/home/data/thumb_img/img473.jpg
476,에스팩토리,서울 중구 세종대로18길 8-2,,,/home/data/thumb_img/default5.jpg
477,보라소,서울 중구 세종대로21길 22,,,/home/data/thumb_img/default4.jpg
479,아마스빈 종로점,서울 종로구 종로 19 1층 109-1호,월~금 07:30 ~ 23:00,02-730-0101,/home/data/thumb_img/img479.jpg
481,카페다,서울 종로구 통일로14길 24-2,,02-736-0301,/home/data/thumb_img/img481.jpg
483,카페아이엠티 순화점,서울 중구 칠패로 27 순화더샵주상복합 B동,,02-771-8817,/home/data/thumb_img/img483.jpg
486,소꿉놀이,서울 종로구 자하문로6길 14 지하 1층,매일 11:00 ~ 20:00,02-6925-5916,/home/data/thumb_img/img486.jpg
488,공정무역가게 지구마을,서울 중구 세종대로 110 서울특별시청 시민청 지하1층,,02-720-8604,/home/data/thumb_img/img488.jpg
490,광화문커피집,서울 종로구 새문안로5길 31,,02-723-8885,/home/data/thumb_img/default1.jpg
492,일층은커피,서울 종로구 새문안로5길 10-1 1층,,,/home/data/thumb_img/default9.jpg
499,버블트리 시청역점,서울 중구 서소문로 131,월~금 08:30 ~ 22:00,02-777-3044,/home/data/thumb_img/default3.jpg
500,카페일므디,서울 중구 청파로 447-1,,02-6365-1904,/home/data/thumb_img/default3.jpg
502,어니언 안국점,서울 종로구 계동길 5,월~금 07:00 ~ 21:00,,/home/data/thumb_img/img502.jpg
503,카페노티드 안국,서울 종로구 북촌로 6-3 1층,월~금 11:30 ~ 21:30,,/home/data/thumb_img/img503.jpg
504,프릳츠 원서점,서울 종로구 율곡로 83,매일 10:00 ~ 21:00,02-747-8101,/home/data/thumb_img/img504.jpg
505,레이어드,서울 종로구 북촌로2길 2-3,월~금 08:00 ~ 22:00,,/home/data/thumb_img/img505.jpg
508,스타벅스 안국점,서울 종로구 북촌로 5-1,월~금 07:00 ~ 21:30,1522-3232,/home/data/thumb_img/img508.jpg
509,갤러리더스퀘어,서울 종로구 계동길 128 201호,월~금 12:00 ~ 20:00,,/home/data/thumb_img/img509.jpg
510,하프커피 안국점,서울 종로구 계동길 82 1층,매일 10:00 ~ 21:00,,/home/data/thumb_img/img510.jpg
511,회화나무,서울 종로구 창덕궁길 35 3층,월요일,02-795-3500,/home/data/thumb_img/default3.jpg
513,스타벅스 북촌로점,서울 종로구 북촌로4길 23 1층~3층,월 07:00 ~ 18:00,1522-3232,/home/data/thumb_img/img513.jpg
515,메가커피 안국역점,서울 종로구 계동길 33-2,,,/home/data/thumb_img/img515.jpg
516,이채카페,서울 종로구 북촌로 20-21,월요일,070-4259-0033,/home/data/thumb_img/img516.jpg
517,전광수커피하우스 북촌점,서울 종로구 북촌로4길 16,,02-745-2050,/home/data/thumb_img/img517.jpg
518,카페홍시궁 창덕궁점,서울 종로구 창덕궁길 35,매일 10:00 ~ 21:00,02-6449-6674,/home/data/thumb_img/img518.jpg
520,브람스,서울 종로구 율곡로 61,월~금 11:30 ~ 24:00,02-743-2059,/home/data/thumb_img/default5.jpg
521,미스핏츠,서울 종로구 계동길 72 1층,월~금 11:00 ~ 19:00,02-747-4293,/home/data/thumb_img/img521.jpg
522,카페공드리,서울 종로구 계동2길 4 1층,,02-765-6358,/home/data/thumb_img/img522.jpg
523,파티세리희원,서울 종로구 북촌로6길 30 1층,월~토 11:00 ~ 19:00,,/home/data/thumb_img/img523.jpg
524,다몽,서울 종로구 계동길 57 지하1층,월 15:00 ~ 22:00,02-6061-3948,/home/data/thumb_img/img524.jpg
526,이도카페,서울 종로구 창덕궁길 191,,02-762-0756,/home/data/thumb_img/img526.jpg
527,카페두루 본점,서울 종로구 계동길 60,,02-744-7554,/home/data/thumb_img/img527.jpg
528,아마스빈 안국역점,서울 종로구 북촌로 2 1층,,02-764-4620,/home/data/thumb_img/img528.jpg
529,더치앤빈 안국역점,서울 종로구 율곡로 59-1 1층,월~금 07:30 ~ 23:00,02-733-1477,/home/data/thumb_img/default2.jpg
530,매스커피 안국역점,서울 종로구 계동길 17 1층,월~금 07:00 ~ 21:00,02-762-6002,/home/data/thumb_img/img530.jpg
532,물나무다방,서울 종로구 계동길 84-3,,02-318-0008,/home/data/thumb_img/img532.jpg
533,더한옥,서울 종로구 계동길 75,,02-743-7470,/home/data/thumb_img/img533.jpg
534,카페드나타,서울 종로구 북촌로 22-1,,,/home/data/thumb_img/img534.jpg
535,광화문아침,서울 종로구 북촌로1길 5 MJ빌딩 B동 3층,,010-9414-7899,/home/data/thumb_img/img535.jpg
536,더블컵커피,서울 종로구 창덕궁1길 35 1층,월~금 06:00 ~ 19:00,02-743-4222,/home/data/thumb_img/img536.jpg
537,계동13,서울 종로구 계동길 119-1,매일 09:00 ~ 20:00,02-763-0013,/home/data/thumb_img/img537.jpg
539,매머드커피 계동점,서울 종로구 계동길 11 1층,월~금 07:00 ~ 20:00,070-8162-3196,/home/data/thumb_img/default10.jpg
540,커피온리 안국역점,서울 종로구 율곡로 63,월~금 07:30 ~ 21:00,02-747-1601,/home/data/thumb_img/default10.jpg
541,힐링타로앤카페,서울 종로구 북촌로5길 19-15,,02-745-3085,/home/data/thumb_img/default8.jpg
543,팔공티 북촌점,서울 종로구 창덕궁1길 36,,,/home/data/thumb_img/default10.jpg
544,아재커피 북촌점,서울 종로구 창덕궁1길 39,,02-745-4569,/home/data/thumb_img/img544.jpg
545,크렘브,서울 종로구 계동길 64,,02-742-5006,/home/data/thumb_img/img545.jpg
546,빈스로드 북촌점,서울 종로구 북촌로11길 35-7,,,/home/data/thumb_img/img546.jpg
547,쥬씨 안국점,서울 종로구 계동길 15,,02-745-3319,/home/data/thumb_img/img547.jpg
548,계동107,서울 종로구 창덕궁1길 41 1층,,,/home/data/thumb_img/default6.jpg
549,모노치즈 북촌점,서울 종로구 창덕궁1길 29 1층,,02-766-8591,/home/data/thumb_img/default9.jpg
550,빅 스트로우 북촌점,서울 종로구 북촌로5길 6 1층,,,/home/data/thumb_img/img550.jpg
551,카페아테나,서울 종로구 북촌로 20-3,,,/home/data/thumb_img/img551.jpg
552,밀밀홍,서울 종로구 계동길 103-4 1층,,,/home/data/thumb_img/default5.jpg
553,셀렉토커피 안국역점,서울 종로구 계동길 23,,02-742-8788,/home/data/thumb_img/default5.jpg
554,한경헌,"서울 종로구 창덕궁길 170 1,2층",,02-742-7769,/home/data/thumb_img/img554.jpg
555,카페단밀,서울 종로구 창덕궁1길 32,,,/home/data/thumb_img/img555.jpg
556,끽다거,서울 종로구 북촌로4길 27,,02-733-9746,/home/data/thumb_img/img556.jpg
557,아꼬떼,서울 종로구 계동길 5,,02-745-1322,/home/data/thumb_img/img557.jpg
558,서로재,서울 종로구 북촌로6길 32-1 1층,,,/home/data/thumb_img/default9.jpg
559,티엑스티,서울 종로구 창덕궁길 121,,070-7760-0121,/home/data/thumb_img/img559.jpg
560,커피산책,서울 종로구 창덕궁1길 32,,02-743-2397,/home/data/thumb_img/default2.jpg
561,카페아이엠티 계동점,서울 종로구 계동길 19,,02-745-2959,/home/data/thumb_img/img561.jpg
562,계동커피,서울 종로구 계동길 89-1,,,/home/data/thumb_img/img562.jpg
564,비원커피,서울 종로구 창덕궁1길 9-1,,02-3673-0216,/home/data/thumb_img/default5.jpg
565,망고랑 본점,서울 종로구 계동길 112,,02-992-0178,/home/data/thumb_img/img565.jpg
567,홍익타로 4호점,서울 종로구 계동길 5,,,/home/data/thumb_img/default8.jpg
569,수지킴도시락아트카페,서울 종로구 창덕궁1길 10,,02-792-8736,/home/data/thumb_img/default8.jpg
570,멜팅팟 안국점,서울 종로구 율곡로 63 1층,,,/home/data/thumb_img/img570.jpg
571,마리온크레페,서울 종로구 북촌로5길 4,,,/home/data/thumb_img/img571.jpg
572,필묵문화예술원,서울 종로구 북촌로12길 35-1,,02-3142-3692,/home/data/thumb_img/default9.jpg
573,모던팩토리,"서울 종로구 계동길 82 1,2층",,070-8826-0132,/home/data/thumb_img/img573.jpg
574,북촌,서울 종로구 북촌로11길 1,,,/home/data/thumb_img/default9.jpg
575,나무요일,서울 종로구 창덕궁길 31,,02-765-4762,/home/data/thumb_img/default1.jpg
576,쿠쿠스무스 북촌점,서울 종로구 계동길 96,,,/home/data/thumb_img/img576.jpg
577,2046,서울 종로구 계동길 73-1,,,/home/data/thumb_img/default4.jpg
578,까페줄리,서울 종로구 창덕궁1길 6,,02-743-5101,/home/data/thumb_img/default5.jpg
579,사계,서울 종로구 계동길 69,,,/home/data/thumb_img/img579.jpg
580,북촌티하우스,서울 종로구 계동길 5 1층,,070-4038-7735,/home/data/thumb_img/default8.jpg
581,체어스온더힐,서울 종로구 북촌로7길 20,,02-747-7854,/home/data/thumb_img/default2.jpg
582,소소,서울 종로구 계동길 76,매일 09:00 ~ 19:00,02-742-6925,/home/data/thumb_img/default6.jpg
583,어메이징,서울 종로구 창덕궁길 84,,02-737-8066,/home/data/thumb_img/default3.jpg
584,컴포즈커피 계동현대사옥점,서울 종로구 율곡로 75,,,/home/data/thumb_img/default5.jpg
585,빅스트로우 북촌점,서울 종로구 북촌로5길 6,,02-765-0942,/home/data/thumb_img/img585.jpg
586,우바,서울 종로구 북촌로 53 1층,,02-736-0015,/home/data/thumb_img/img586.jpg
587,북촌애미소,서울 종로구 북촌로 35 가회동주민센터 1층,,02-745-5567,/home/data/thumb_img/default8.jpg
588,GaHoe Gallery&Cafe,서울 종로구 북촌로 96-7,,,/home/data/thumb_img/default5.jpg
589,더0123,서울 종로구 북촌로 14-2 1층,매일 07:00 ~ 18:30,02-744-0673,/home/data/thumb_img/img589.jpg
591,인,서울 종로구 북촌로 14-1,,02-763-7355,/home/data/thumb_img/default5.jpg
592,더반 카페&홈베이커리,서울 종로구 북촌로 39,,,/home/data/thumb_img/default8.jpg
593,가회갤러리&카페,서울 종로구 북촌로 96-7,,02-546-1883,/home/data/thumb_img/default10.jpg
594,웃음이바람을타고,서울 종로구 계동길 76,,,/home/data/thumb_img/default4.jpg
595,슈가살롱,서울 종로구 계동길 109,,02-766-1960,/home/data/thumb_img/default3.jpg
596,바로쥬스 무인스토어,서울 종로구 북촌로 10,,,/home/data/thumb_img/default5.jpg
598,보티,서울 종로구 율곡로 65,,02-744-0444,/home/data/thumb_img/default6.jpg
