total_x,total_y
컨셉과 방향성 정해야함,1
AR 컨셉으로 가는건 어떨까,1
키워드 분류 합시다,1
발표자 정해야 합니다.,1
오류 해결,1
버그문제,1
검색 결과 처리,1
페이지 그대로 할 것인가,1
모르는 사람이 홈페이지 들어갔을 때 무엇을 하는 홈페이지인지 잘 와닿지 않는다,1
이 부분을 좀 해결해야 할 것 같다,1
카페 추천하는 곳이다!! 뽷!! 이느낌,1
지금 보니 큰 폰트인게 일부러 그러신거 같기도 해요 ,1
테스트케이스,1
비밀번호 대소문자 포함?,1
사진 없어도 글 작성 가능?,1
팔로우 언팔로우 버튼 반대로 보여짐,1
리뷰 키워드 찾아보기,1
이미지 url 만들기,1
프론트 follow와 comment 구현,1
token 이슈 해결 안된 부분 수요일 오전 미팅때 같이 해결,1
설문 부분(문항은 일단 빼고 형식 만들어 두기),1
NLP 키워드 분석 ,1
키워드 추출,1
해시태그 추출,1
감정분석,1
디자인의 감성적인 부분이 더 필요,1
더미 이미지 교체,1
더미 사진을 여러 장 넣어두고 랜덤으로 보여주게 해야함,1
사람들이 홈페이지에 들어와서 어느정도 해볼 수 있또록 하게 해야 함,1
모바일 기반 서비스임을 알려줄 것,1
반응형 보여주기,1
서비스 기획 의도 명확하게,1
jira 남은 이슈,1
기획 단계는 어떤지,1
하고자 하는게 무엇인지,1
우리만의 서비스 차별점 강조할 것,1
시간 잘 맞춰 개발하기,1
데드라인 유의,1
시간이 촉박하다,1
생각보다 시간이 많이 모자라다,1
UI경우 전체 페이지의 통일성이 있어야 함,1
같은 서비스 플랫폼이라는 느낌이 들어야 함,1
금주 목요일까지 완료해주세요,1
차주 월요일날 중간발표 있습니다,1
차주 수요일 고객사 방문 일정 확인 후 공유해주세요,1
팀장님께 보고바랍니다,1
확정되면 팀에 공유해주세요,1
프론트와 백 연결하기,1
gitlab에서 default branch를 바꿀 수 있는데 참고바람,1
오전 중 마무리 후 디비 서버에 연결,1
포스트 ui 마무리,1
마이페이지 마무리,1
에자일스럽지 못하다,1
담당자 배분잘해서 설정하기,1
로컬 이미지 저장,1
api 이미지 이용하기,1
유저 이메일 프론트에서는 회원가입과 로그인 시 이메일 형식인지 확인하는 로직 필요,1
유저 이메일 백에서는 이메일 중복 혹은 잘못된 값 등 다른 에러 메시지 확인 필요,1
프론트팀 로그인과 회원가입 모달 구현,1
어제 피드백 반영,1
피드백 부탁드립니다,1
팀장 회의 안건,1
서버를 여러대 돌려도 된다,1
메인 기능을 먼저 완료하라,1
도커 서버 환경 설정,1
오늘까지 프론트와 백엔드 환경 설정 완료하기,1
뽑아낸 키워드를 그룹화하여 분류 후 보여주기,1
폰트와 theme 컬러 선정,1
메인 목록 기능,1
해당 영역 강조,1
스크롤 올릴때만 보이게,1
follow CRUD 백엔드 구현,1
menu CRUD 백엔드 구현,1
프로젝트 합쳐서 gitlab에 올리기,1
디비 수정 필요한 부분 정리하기,1
담당자 할당하기,1
서버 통신 틈틈히 확인하면서 오류 수정할 것,1
이번주 내로 서버 테스트 해보기,1
도커 디비 백 각각 해도 좋을 듯,1
워드크라우드 제공으로 유저 스스로 판단도 가능,1
ui/ux 로그인 회원가입 세부 디자인 수정 필요,1
로그인 회원가입 백엔드 구현,1
토큰의 구조 리프레시 토큰,1
회원정보 가지고 있을 때 세션과 로컬 스토리지 중 어디에 저장할 지,1
토큰 세션과 쿠키 중 어디에 저장할 지,1
장단점 찾아보고 고민해보기,1
각자 구글링해보기,1
관련 부서에 연락하기,1
소셜 로그인 기능 추가,1
서비스의 특성 고려해서 할 수도 있어요,1
버튼이 눌리지 않는데 눌리는 것으로 인식,1
무한루프 도는 것 확인 후 수정 필요,1
메뉴 있는 것만 뽑아서 따로 저장,1
서비스 목적 회의 필요,1
핵심서비스에 대한 한마디로 정의하기,1
스켈레톤 프로젝트 개인 작업 환경설정,1
생각하는 메인 기능이 무엇인지 확실이 정합시다,1
데이터 정제,1
와이어프레임,1
DB 설계,1
데이터 수정해서 올려주세요,1
내일 입찰있어서 부산 티켓 좀 알아봐주세요,1
시공끝나면 바로 보고해주세요,1
커밋 컨벤션 확인해주세요,1
견적서 작성하는거 진행해주세요,1
왼쪽 메뉴바 개발 진행해주세요,1
동영상 편집 완성본 공유해주세요,1
동영상 편집 완료되면 올려주세요,1
고객 정보는 암호화해서 저장해 주세요.,1
오늘 상담 있으신 분들 2층으로 와주세요,1
어떤 폰트 사용할지 정해서 공유해주세요,1
글자크기 조금 더 키워주세요,1
ucc 제작해주세요,1
팀평가는 오늘까지 완료해주세요,1
구글 차트 사용해서 프로젝트 완료해주세요,1
코드 백업 진행해주세요,1
전체삭제 기능 추가해주세요,1
일부 선택만 가능하게 진행해주세요,1
댓글 작성 기능 진행해주세요,1
버그 확인하고 수정부탁드립니다,1
카테고리 배너 제작 내일까지 완료하세요,1
회원 이미지 저장 이번주안으로 완성해주세요,1
디벨롭에 검색페이지 수정한거 MR 날린거 확인해주세요,1
오늘까지 톰캣 설치 완료해주세요,1
기존 백엔드 서버 올려주세요,1
BoardSearchList.vue 이어서 진행해주세요,1
axios 요청할때 resapi 공유문서 확인해주세요,1
타겟 고객 정확하게 설정해서 보고서 올려놔,1
응급수술이 있을 수 있으니 물품 준비해주세요,1
타 기업 마케팅 기획 분석해주세요,1
지정된 날짜에 제안서 작성해서 주세요,1
행사 날짜에 맞춰서 셋팅해 주세요,1
제안서 올려주세요,1
제안서 공유해주세요,1
행사 날짜에 맞춰서 셋팅 완료해주세요,1
최종보고서 수정해서 올려주세요,1
최종보고서 공유해주세요,1
안녕,0
나도 그렇긴해,0
꼭 나눠야하나 싶긴한데,0
난 왜안보이지,0
나 근데 디자인은 이제 그만하고싶긴해,0
풀스택 3 으로간다,0
너 암것도 안하자나,0
난 그렇게 알고있어,0
빨리하구 쉬어야지,0
나 이거쓸라고 캡쳐해두었어,0
친구들있으면 일단 데리고와,0
애초에 팀 만들때 빠질 것 같아요,0
걍 데리고 오지 말자,0
다들 프론트보단 백하고 싶어합니다,0
이렇게 팀 구성이 되었습니다,0
혹시 팀장하고싶냐고 물어봐,0
쿨쿨 자는거야,0
부지런한 언니오빠덜 맛점해요,0
일단 밥을 먹어,0
고생했어요,0
기프티콘 결재라는걸 해봐야겠어,0
다들 내가 더 잘할게,0
그래서 명단에 없는거지,0
그럼 밥먹고 물어볼게,0
모두들 잘부탁드려요,0
살아있나 확인좀하구올겡,0
월욜부터 화이팅해봐요,0
즐거운 주말 되세요,0
팀장하고싶은 분 계신가요,0
나도 모르면 물어볼게,0
오후 미팅은 없습니다,0
다시 해봐야합니다,0
그냥 연습하고 끝입니다,0
난 집에서 무조건 안경씁니다,0
오늘의 일정은 어떻게 되나요,0
팀적으로 할건 없는것 같습니다,0
지금은 점심시간입니다,0
교수님한테 물어보시죠,0
나도 몇일전부터 앱 깔았잖아,0
브랜드 데이터 어떤게 있을라나,0
용량때문에 안돌아가지,0
소리가 잘 안들립니다,0
다운로드 안받은 사람,0
미팅 까먹지 마세요,0
인터넷이 이상합니다,0
쉬다가 미팅갑시다,0
오늘도 고생많았습니다,0
데이터를 못구하겠습니다,0
역시 쉬어야 아이디어가 잘나오네요,0
회의는 개인적인 사정으로 불참합니다,0
정확하게 알고있네요,0
마이크는 어떻게 키나요,0
처음 사용해봅니다,0
아무 문제 없었는데,0
완벽한 팀플레이입니다,0
뭔가 나왔는데 왜나왓는지 모르겠다,0
좋아요,0
괜찮을 것 같습니다,0
충분합니다,0
택배보내러 출발합니다,0
얼떨결에 찾았습니다,0
한명씩 안들어오는 이유가 뭘까,0
발표할 필요는 없을 듯 합니다,0
매우 불쌍합니다,0
코치님이 물어보십니다,0
되게 깔끔하네,0
대신 말 좀 해주세요,0
심각하게 놀래시더라구요,0
스타일이 조금 그래요,0
다른 팀은 어떤가요,0
딱히 흥미가 없네요,0
정하기가 어렵습니다,0
매우 놀랍습니다,0
몰라서 다행입니다,0
렉이 엄청 걸립니다,0
다시 들어오겠습니다,0
내일부터 하자,0
필요한게 있나요,0
오늘 한 건 했습니다,0
칭찬해주세요,0
힐링타임입니다,0
언제쯤 진행할까요,0
알겠습니다,0
다시 한 번 말해주세요,0
최고입니다,0
다시한번 물어보고 오겠습니다,0
힘냅시다 파이팅,0
저도 사실 잘 모르겠습니다,0
기달려야합니다,0
 편하게 들을게요,0
모델만들때 어느정도의 데이터셋을 필요로 하나요,0
돈 주고 삽니다,0
꿀팁인것 같아요,0
와이어프레임 좀 더 생각해보면될거같아요,0
준비 열심히 합시다,0
간소화하는 방법이 없을까요,0
이름만 알려주세요,0
30분내로 끝내야합니다,0
글자를 줄여야합니다,0
별로 중요하지 않습니다,0
커피는 나중에 사겠습니다,0
기프티콘 보내주시죠,0
저 개인주의 아닙니다,0
베스트 팀 될 것 같습니다,0
뼈 맞았습니다,0
우리 팀 이름 바꿔야 할 것 같습니다,0
세대차이가 생깁니다,0
열심히 살겠습니다,0
추억에 빠졌습니다,0
그래도 보고싶습니다,0
파악이 빠르시네요,0
조금 추워서 입었어요,0
늦을것 같습니다,0
인사만 해야겠어요,0
집중해서 끝냅시다,0
리듬을 탑시다,0
대신 말 좀 해주세요,0
대신 들어왔습니다,0
캡쳐는 하지마라,0
긍정적이시네,0
사회생활을 너무 열심히 했네,0
웃기지 마세요,0
솔직하게 말하세요,0
나 말하면 전체 다 보이나요,0
부드럽게 말하세요,0
화해하자,0
이미 저장해놨어요,0
모델 쪽 고민이 많습니다,0
입을 막아버려요,0
당근을 흔드세요,0
지켜보겠습니다,0
멘탈이 다들 나갔어요,0
이렇게 하는건 어떤가요,0
컨설턴트님 노래 부르는거 보신분,0
귀신같네요,0
무슨 얘기했는지 모르겠어,0
자도자도 졸리네요,0
엄청나게 게을러졌습니다,0
감사합니다,0
특강이 있어서 회의 없습니다,0
무었을 했나요,0
무엇을 할껀가요,0
시간낭비 하지마세요,0
애매하네요,0
필요없는 기능같은데,0
대충하는게 편한가,0
하게 되면 이쁜게 좋은데,0
요즘 너무 바쁘네요,0
팀원 괴롭히지 마세요,0
바꿔줄 수 있을까요,0
뒷담화는 금지입니다,0
밤에는 술집이됩니다,0
낮에는 카페가됩니다,0
같이 수료합시다,0
세시까지 완료하긴 힘들 것 같습니다,0
오분 휴식 후 진행하겠습니다,0
주식 좀 올랐냐?,0
어제 축구재밌더라,0
퇴근하고 회식하자,0
회의 빨리끝내고 할일하자고,0
나는 아메리카노,0
다음주 미팅은 누구랑 다녀오지?,0
오늘 너무 덥더라.,0
연휴 때 출근 해야할거 같다,0
오늘도 파이팅 하자고.,0
어제 하던 얘기 마저 하자.,0
우리 다음 미팅 언제지?,0
우희씨 할일 다했어?,0
김우희 사원 회의 늦지 마,0
잠깐 화장실좀 다녀오겠습니다,0
어제 보고 올린거 다 된거야?,0
오늘은 10분안에 회의 끝낼게요,0
마지막으로 당부 말씀드립니다,0
사원간에 인사 잘 부탁드립니다,0
규정상 이번주는 휴가 어렵습니다,0
휴가 잘 다녀왔어?,0
오늘은 좀 늦게까지 작업 해야할거같아,0
다음 페이지는 스킵해,0
중간 모델은 내가 하는게 나을거 같은데,0
한 11시에 할까?,0
휴가가 많이 짧았던거 같아,0
제가 알기론 안그러기로 한것 같습니다,0
아직 마감 전입니다,0
테스트 한게 잘 안되더라고,0
다들 좀만 더 고생하자고,0
저번 발표 좋았어,0
내일 회의 없습니다,0
택시비는 내줘야지,0
저번보다 더 일찍 마무리 했으면 좋겠어,0
네시까진 힘들지 싶네요,0
오분 쉬었다 합시다,0
요새 주식 어때?,0
어제 야구 봤어?,0
회식 있는거 알지?,0
빠르게 회의 하고 업무에 집중하자고.,0
커피 아이스로 부탁해,0
이번 프로젝트 담당자 누구야?,0
날이 꽤 쌀쌀하네요,0
이번에 휴가 길더라고.,0
좋은하루 됩시다.,0
일단 하던 이야기 마저 하자면.,0
다음 회의 일정 언제더라.,0
효진씨 마감 시켰어?,0
김프로 일찍 좀 다니지.,0
잠깐 휴회하고 진행하겠습니다,0
이번건 승인 받았지?,0
간단하게 몇 개만 공지하겠습니다,0
하나 더 말씀드리자면,0
존중해야지 우리도.,0
다른 부서로 발령 갈 수도 있겠다,0
잘 쉬다 오셨습니까들,0
오늘은 미안하지만 야근을 조금 해야할 듯 싶네,0
일단 넘어가겠습니다,0
효진님이 맡아주시겠어요?,0
대충 12시 즘 하면 되지 않을까요?,0
시간 금방 간다,0
제 생각엔 아니지 싶습니다,0
마감까지 아직 시간이 있습니다,0
